UK Region,Skills,Cluster_Name,Demand,Supply,Gap_Score
England,elasticsearch,Soft Skills & Business Development,3,0.0987,5.0137
England,miro-,Game Development & Programming,6,0.1569,5.0132
England,php,Game Development & Programming,6,0.1569,5.0132
Scotland,sql,Game Development & Programming,2,0.0855,5.0109
Northern Ireland,communication,Soft Skills & Business Development,7,0.1891,5.0065
England,wwise,"Cloud, Infrastructure & DevOps",7,0.1893,5.0064
England,business-intelligence,Project & Development Management,7,0.1893,5.0064
England,influencer-marketing,Soft Skills & Creative Production,7,0.1893,5.0064
England,hr-operations,Soft Skills & Business Development,7,0.1893,5.0064
England,logo-development,Project & Development Management,7,0.1893,5.0064
England,dns,Business Tools & Productivity,7,0.1893,5.0064
England,prometheus,Game Development & Programming,7,0.1893,5.0064
England,bug-tracking,Soft Skills & Creative Production,7,0.1893,5.0064
England,risk-assessment,Project & Development Management,7,0.1893,5.0064
England,angular,Game Development & Programming,5,0.1516,5.0063
England,sass,"Cloud, Infrastructure & DevOps",1,0.0761,5.006
England,cryptography,Game Development & Programming,1,0.0761,5.006
England,jwt,Business Tools & Productivity,1,0.0761,5.006
England,oauth,Game Development & Programming,1,0.0761,5.006
Scotland,risk-management,Project & Development Management,1,0.0807,5.0036
Wales,cross-functional,Soft Skills & Business Development,1,0.0824,5.0028
England,direct-x,Game Development & Programming,4,0.144,5.0005
England,swift,Business Tools & Productivity,4,0.144,5.0005
England,webpack,Game Development & Programming,4,0.144,5.0005
Scotland,jira,Game Development & Programming,2,0.1111,4.9979
England,microsoft-azure,Business Tools & Productivity,6,0.1893,4.9968
England,event-management,Project & Development Management,6,0.1893,4.9968
England,growth-strategies,Soft Skills & Creative Production,6,0.1893,4.9968
England,rust,Business Tools & Productivity,6,0.1893,4.9968
England,cold-calling,Soft Skills & Creative Production,6,0.1893,4.9968
England,mathematical,Soft Skills & Business Development,6,0.1893,4.9968
England,usability-testing,Soft Skills & Creative Production,6,0.1893,4.9968
England,user-testing,Soft Skills & Creative Production,6,0.1893,4.9968
England,code-architecture,Soft Skills & Business Development,6,0.1893,4.9968
England,redis,"Cloud, Infrastructure & DevOps",6,0.1893,4.9968
Scotland,prototyping,Soft Skills & Creative Production,2,0.1136,4.9967
England,shader-development,Project & Development Management,3,0.1327,4.9966
England,reaper,Soft Skills & Business Development,3,0.1327,4.9966
England,vue.js,"Cloud, Infrastructure & DevOps",3,0.1327,4.9966
England,flask,Game Development & Programming,3,0.1327,4.9966
England,laravel,Game Development & Programming,2,0.1138,4.9965
England,adobe-photoshop,Game Development & Programming,2,0.1138,4.9965
Northern Ireland,python,Soft Skills & Business Development,1,0.098,4.995
Scotland,problem-solving,Soft Skills & Creative Production,7,0.2162,4.9929
Scotland,character-design,Game Development & Programming,1,0.1022,4.9928
Scotland,unreal,Soft Skills & Business Development,6,0.1985,4.9922
Scotland,ci-cd,Game Development & Programming,2,0.1241,4.9913
Scotland,data-analytics,Soft Skills & Business Development,3,0.1467,4.9896
England,autodesk,Game Development & Programming,5,0.1893,4.9873
England,autodesk-maya,Game Development & Programming,5,0.1893,4.9873
England,gradle,Game Development & Programming,5,0.1893,4.9873
England,game-development-lifecycle,Project & Development Management,5,0.1893,4.9873
England,hris-human-resource-information-systems,Soft Skills & Business Development,5,0.1893,4.9873
England,creative-writing,Soft Skills & Creative Production,5,0.1893,4.9873
England,dhcp,Game Development & Programming,5,0.1893,4.9873
England,business-strategy,Soft Skills & Creative Production,5,0.1893,4.9873
